"State","FIPS","Name","TotalVotes","Obama","Romney"
"WY",56045,"Weston",3323,422,2821
"WY",56043,"Washakie",3911,794,3013
"WY",56041,"Uinta",8453,1628,6613
"WY",56039,"Teton",11356,6211,4858
"WY",56037,"Sweetwater",16750,4773,11427
"WY",56035,"Sublette",4337,767,3472
"WY",56033,"Sheridan",14225,3618,10267
"WY",56031,"Platte",4500,1223,3136
"WY",56029,"Park",14492,2927,11234
"WY",56027,"Niobrara",1268,200,1022
"WY",56025,"Natrona",32057,8960,22129
"WY",56023,"Lincoln",8573,1287,7144
"WY",56021,"Laramie",38057,13807,23247
"WY",56019,"Johnson",4217,749,3362
"WY",56017,"Hot Springs",2495,523,1894
"WY",56015,"Goshen",5758,1458,4178
"WY",56013,"Fremont",16817,5333,11072
"WY",56011,"Crook",3657,426,3109
"WY",56009,"Converse",6287,1089,5043
"WY",56007,"Carbon",6461,2109,4152
"WY",56005,"Campbell",17477,2163,14952
"WY",56003,"Big Horn",5262,868,4269
"WY",56001,"Albany",16052,7445,7851
"WI",55141,"Wood",38762,18546,19685
"WI",55139,"Winnebago",88814,45410,42073
"WI",55137,"Waushara",12017,5330,6558
"WI",55135,"Waupaca",25801,11565,13989
"WI",55133,"Waukesha",241084,77617,161567
"WI",55131,"Washington",78558,23136,54709
"WI",55129,"Washburn",9242,4435,4692
"WI",55127,"Walworth",52115,22512,28962
"WI",55125,"Vilas",13782,5931,7735
"WI",55123,"Vernon",14215,8031,5935
"WI",55121,"Trempealeau",13456,7601,5703
"WI",55119,"Taylor",9486,3761,5597
"WI",55117,"Sheboygan",63272,28356,34282
"WI",55115,"Shawano",20222,8990,11017
"WI",55113,"Sawyer",9003,4482,4436
"WI",55111,"Sauk",31832,18718,12829
"WI",55109,"St. Croix",46009,19874,25475
"WI",55107,"Rusk",7171,3391,3673
"WI",55105,"Rock",80462,49158,30492
"WI",55103,"Richland",8636,4964,3575
"WI",55101,"Racine",102937,52887,49173
"WI",55099,"Price",7870,3882,3879
"WI",55097,"Portage",39186,22052,16599
"WI",55095,"Polk",22494,10054,12075
"WI",55093,"Pierce",20920,10213,10383
"WI",55091,"Pepin",3696,1875,1793
"WI",55089,"Ozaukee",55565,19075,35991
"WI",55087,"Outagamie",94237,45565,47294
"WI",55085,"Oneida",21577,10439,10905
"WI",55083,"Oconto",19727,8810,10691
"WI",55081,"Monroe",19389,9505,9637
"WI",55079,"Milwaukee",490944,328090,158430
"WI",55078,"Menominee",1376,1191,179
"WI",55077,"Marquette",7944,4112,3758
"WI",55075,"Marinette",20712,9868,10609
"WI",55073,"Marathon",69637,32330,36568
"WI",55071,"Manitowoc",42488,20382,21581
"WI",55069,"Lincoln",15152,7543,7444
"WI",55067,"Langlade",10482,4569,5810
"WI",55065,"Lafayette",7928,4534,3313
"WI",55063,"La Crosse",63212,36632,25711
"WI",55061,"Kewaunee",11018,5151,5746
"WI",55059,"Kenosha",80661,44838,34942
"WI",55057,"Juneau",11781,6237,5400
"WI",55055,"Jefferson",44136,20136,23489
"WI",55053,"Jackson",9290,5297,3900
"WI",55051,"Iron",3620,1783,1788
"WI",55049,"Iowa",12515,8099,4302
"WI",55047,"Green Lake",9657,3790,5779
"WI",55045,"Green",19302,11196,7848
"WI",55043,"Grant",24160,13574,10255
"WI",55041,"Forest",4643,2421,2172
"WI",55039,"Fond du Lac",53272,22356,30329
"WI",55037,"Florence",2615,952,1643
"WI",55035,"Eau Claire",54595,30618,23218
"WI",55033,"Dunn",21899,11303,10210
"WI",55031,"Douglas",22862,14855,7698
"WI",55029,"Door",17607,9338,8109
"WI",55027,"Dodge",44379,18745,25190
"WI",55025,"Dane",302845,215389,83459
"WI",55023,"Crawford",7791,4622,3064
